('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1282421 function calls (1258193 primitive calls) in 7.566 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      118    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       75    0.000    0.000    0.000    0.000 typing.py:1205(__getattr__)
      520    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      494    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       66    0.000    0.000    0.926    0.014 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 ssl.py:1308(_real_close)
      254    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      215    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      519    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       70    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        2    0.000    0.000    0.411    0.205 __init__.py:209(__init__)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
       60    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
    30/17    0.000    0.000    0.743    0.044 {built-in method builtins.__import__}
        2    0.000    0.000    0.007    0.004 request.py:1(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
      127    0.000    0.000    0.001    0.000 element.py:1434(output_ready)
      295    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
      520    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      313    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        2    0.000    0.000    0.039    0.020 connection.py:1(<module>)
      261    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
